Time,Cap_1_WC_Ton,Cap_2_WC_Ton,Cap_3_WC_Ton
0,150,150,150
1,75.08914836,75.08914836,75.08914836
2,60.05710918,60.05710918,60.05710918
3,54.58088414,54.58088414,54.58088414
4,52.19554413,52.19554413,52.19554413
5,51.07679335,51.07679335,51.07679335
6,50.53393931,50.53393931,50.53393931
7,50.26618567,50.26618567,50.26618567
8,50.13305553,50.13305553,50.13305553
9,50.06659733,50.06659733,50.06659733
10,50.03335557,50.03335557,50.03335557
11,50.01671182,50.01671182,50.01671182
12,50.00837436,50.00837436,50.00837436
13,50.00419677,50.00419677,50.00419677
14,50.00210328,50.00210328,50.00210328
15,50.00105411,50.00105411,50.00105411
16,50.0005283,50.0005283,50.0005283
17,50.00026478,50.00026478,50.00026478
18,50.0001327,50.0001327,50.0001327
19,50.00006651,50.00006651,50.00006651
20,50.00003333,50.00003333,50.00003333
21,50.00001671,50.00001671,50.00001671
22,50.00000837,50.00000837,50.00000837
23,50.0000042,50.0000042,50.0000042
24,50.0000021,50.0000021,50.0000021
25,50.00000105,50.00000105,50.00000105
26,50.00000053,50.00000053,50.00000053
27,50.00000026,50.00000026,50.00000026
28,50.00000013,50.00000013,50.00000013
29,50.00000007,50.00000007,50.00000007
30,50.00000003,50.00000003,50.00000003
