Time,Total,TD_Min,TD_Mean,TD_Max
1,2846600.0,2790784.31372549,2711047.619047619,2611559.633027523
2,3027500.0,2909938.485198001,2746031.746031746,2548186.1796145104
3,3602300.0,3394527.745738818,3111802.181189936,2781636.5502239713
4,778100.0,718844.1259912307,640144.7956355632,551225.6567298293
5,934700.0,846586.5879480224,732361.9077980685,607490.8667730633
6,778100.0,690930.532479076,580630.2001229598,463955.6070447178
7,934700.0,813712.5989504252,664273.8392726245,511312.9086550486
8,778100.0,664100.8578230257,526648.7075945213,390502.1522133808
9,934700.0,782115.1470111737,602515.9539887749,430361.8455138864
10,778100.0,638313.0121328583,477685.90258006466,328677.8488455355
11,934700.0,751744.6626404976,546499.7315090928,362226.9552343123
12,778100.0,613526.5399200867,433275.19508395885,276641.5696031777
13,934700.0,722553.5011923275,495691.36644815677,304879.18124258245
14,778100.0,589702.556632148,392993.37422581296,232843.6744408532
15,934700.0,694495.8681202687,449606.68158562965,256610.70721537108
16,778100.0,566803.6876510456,356456.57526150835,195979.8623355384
17,934700.0,667527.7471359752,407806.51390986814,215984.09832116074
18,778100.0,544794.0096607512,323316.62155238853,164952.32921095728
19,934700.0,641606.8311572233,369892.5296234631,181789.49442063857
20,778100.0,523638.99429137947,293257.70662348164,138837.0753395819
21,934700.0,616692.4559373542,335503.4282298985,153008.58043989443
22,778100.0,503305.45395172964,265993.3846925003,116856.38863696819
23,934700.0,592745.5362719668,304311.4995282526,128784.26095437622
24,778100.0,483761.4897652149,241263.84099092995,98355.68440111789
25,934700.0,569728.5046827823,276019.50070589804,108395.13589291828
26,778100.0,464976.4415275038,218833.41586478907,82784.0117844608
27,934700.0,547605.2524824897,250357.823769522,91234.0172484793
28,778100.0,446920.8396073661,198488.35906103314,69677.64648132378
29,934700.0,526341.0731281139,227081.92632156186,76789.84702338127
30,778100.0,429566.3587152692,180034.792799123,58646.281021230345
