,Cap,PTAP,Carbons,I,M,O,T,P
1,890830.641919512,87184.07246717997,1239.5625006600008,2010000.0,250500.0,27500.0,457600.0,101000.0
2,2373047.2690317994,214863.88000456005,3450.51316863,2004000.0,381000.0,53750.0,487750.0,101000.0
3,2885907.523146174,252524.11092973998,4242.67294044,2223000.0,617250.0,77500.0,583550.0,101000.0
4,3188622.1060612565,274755.3468476,4586.245246605001,0.0,486750.0,77500.0,112850.0,101000.0
5,3361662.323884452,287724.37696162,4618.813365375001,0.0,617250.0,77500.0,138950.0,101000.0
6,3491997.8837479707,297226.95009071997,4619.960734785,0.0,486750.0,77500.0,112850.0,101000.0
7,3603843.68419707,305120.22283006,4619.998701945,0.0,617250.0,77500.0,138950.0,101000.0
8,3707074.6984974854,312206.26197108,4619.999956604998,0.0,486750.0,77500.0,112850.0,101000.0
9,3806785.253446027,318933.48179919994,4619.999997855,0.0,617250.0,77500.0,138950.0,101000.0
10,3905628.591372012,325538.07520685997,4620.000000495001,0.0,486750.0,77500.0,112850.0,101000.0
11,4004986.636685922,332143.60155384,4619.999999670001,0.0,617250.0,77500.0,138950.0,101000.0
12,4105585.688590765,338814.91384613997,4620.00000066,0.0,486750.0,77500.0,112850.0,101000.0
13,4207816.200095543,345586.57910455996,4620.000000495001,0.0,617250.0,77500.0,138950.0,101000.0
14,4311897.322492131,352477.63005566003,4620.000000330001,0.0,486750.0,77500.0,112850.0,101000.0
15,4417961.174499125,359499.16520456,4619.999999835,0.0,617250.0,77500.0,138950.0,101000.0
16,4526095.893876601,366658.24952986,4620.000000000001,0.0,486750.0,77500.0,112850.0,101000.0
17,4636367.612314658,373959.91157004,4620.00000033,0.0,617250.0,77500.0,138950.0,101000.0
18,4748831.666234839,381408.16743472003,4620.0,0.0,486750.0,77500.0,112850.0,101000.0
19,4863538.324038151,389006.54455329996,4619.9999998349995,0.0,617250.0,77500.0,138950.0,101000.0
20,4980535.713086824,396758.34973434,4619.999999504999,0.0,486750.0,77500.0,112850.0,101000.0
21,5099871.310942911,404666.80680541997,4619.9999998349995,0.0,617250.0,77500.0,138950.0,101000.0
22,5221592.73737259,412735.12881584,4620.000000494999,0.0,486750.0,77500.0,112850.0,101000.0
23,5345748.141259223,420966.55334052,4620.0,0.0,617250.0,77500.0,138950.0,101000.0
24,5472386.423737182,429364.36360084,4620.0,0.0,486750.0,77500.0,112850.0,101000.0
25,5601557.355576507,437931.89761314,4620.000000825,0.0,617250.0,77500.0,138950.0,101000.0
26,5733311.644401647,446672.55535306,4619.999999505,0.0,486750.0,77500.0,112850.0,101000.0
27,5867700.989297792,455589.80199729995,4620.00000066,0.0,617250.0,77500.0,138950.0,101000.0
28,6004778.105451261,464687.1710781,4619.999999505,0.0,486750.0,77500.0,112850.0,101000.0
29,6144596.755711275,473968.2654240201,4620.000000495,0.0,617250.0,77500.0,138950.0,101000.0
30,6285759.864461709,483339.4595003199,4619.999999505,0.0,486750.0,77500.0,112850.0,101000.0
