Time,NBS-1,NBS-2,NBS-3
1,42857.142857142855,102857.14285714286,92857.14285714286
2,80272.10884353741,102040.8163265306,163265.30612244896
3,106252.02461937154,209912.53644314865,217039.19663103335
4,101192.40439940146,92554.0284140867,206703.99679146032
5,96373.71847562044,190396.8584518355,196860.9493252003
6,91784.49378630517,83949.23212162059,187486.61840495263
7,87413.80360600492,172695.5632216195,178558.684195193
8,83251.2415295285,76144.42822822729,170055.8897097076
9,79286.89669478904,156639.9666409247,161957.9901997215
10,75511.33018551338,69065.2410233354,154245.70495211575
11,71915.55255763179,142077.06724800426,146900.67138296735
12,68491.0024358398,62644.20954497541,139905.40131711177
13,65229.526129371225,128868.08820680655,133243.23934963025
14,62123.358218448775,56820.14471199583,126898.32319012402
15,59165.10306518931,116887.1548361057,120855.5458953562
16,56347.71720494221,51537.54622403251,115100.51990033926
17,53664.492576135424,106020.09508943828,109619.54276222785
18,51109.04054870041,46746.07367259184,104399.56453545511
19,48675.276713048,96163.35155504604,99428.1567004334
20,46357.40639337905,42400.066823212546,94693.48257184135
21,44149.91085083719,87222.99460775152,90184.26911603937
22,42047.53414365446,38458.11049724493,85889.78011051369
23,40045.27061300425,79113.82730861814,81799.7905814416
24,38138.35296476595,34882.639906798126,77904.56245851581
25,36322.24091882471,71758.57352255614,74194.82138906266
26,34592.61039888068,31639.58268190306,70661.73465625016
27,32945.343237029214,65087.14151705772,67296.89014880967
28,31376.51736859925,28698.034178596874,64092.27633219969
29,29882.39749390404,59035.95602454213,61040.263173523505
30,28459.426184670516,26029.962973784008,58133.583974784284
