,Carbons
1,1180.5357149142865
2,3129.717159755102
3,3664.980404224166
4,3773.1153143844385
5,3618.9611298055556
6,3447.4858321532333
7,3283.3468226977066
8,3126.9978232010885
9,2978.0931915435367
10,2836.279231662195
11,2701.218315386396
12,2572.5888723478365
13,2450.08464024377
14,2333.4139430059686
15,2222.298993100914
16,2116.4752316002687
17,2015.6906969061379
18,1919.7054254877714
19,1828.2908813516285
20,1741.2294106867014
21,1658.313724581976
22,1579.3464045894073
23,1504.1394327811352
24,1432.513745505843
25,1364.2988054872847
26,1299.3321953309382
27,1237.4592339578774
28,1178.5326034747736
29,1122.412003549825
30,1068.9638126755315
